Year,Project Name,City,State,Utility,System Size (kW-AC),Year of Interconnection
2024,Belchertown Renewables II,Belchertown,MA,National Grid,1996.27,2018
2024,SMAES_01047,Southwick,MA,Eversource MA West,2000,2018
2024,SMAES_01046,Southwick,MA,Eversource MA West,2000,2018
2024,Stafford St Solar B,Leicester,MA,National Grid,2135.63,2018
2024,Bullock Road Solar 1,Freetown,MA,NSTAR (DBA EverSource),2213.17,2018
2024,Bullock Road Solar 2,Freetown,MA,NSTAR (DBA EverSource),2213.17,2018
2024,SMANG_01209,Westport,MA,National Grid (Massachusetts Electric),2378.4,2018
2024,Crooked Lane,Lakeville,MA,Town of Middleborough - (MA),2522.22,2018
2024,Shrewsbury Community Solar,Shrewsbury,MA,Shrewsbury Electric Cable Operations,2981.91,2018
2024,SMANG_01210,Westport,MA,National Grid (Massachusetts Electric),3505,2018
2024,1077 Center St - Ludlow Site A,Ludlow,MA,Western Massachusetts Electric Company,3869.73,2018
2024,1077 Center St - Ludlow Site C,Ludlow,MA,Western Massachusetts Electric Company,3869.73,2018
2024,Middleton Electric Light Dept Solar at 230 Main,Middleton,MA,Middleton Electric LD,4613.26,2018
2024,249 Bullock Road,Freetown,MA,NSTAR Electric Company,5754.24,2018
2024,247 Bullock Road,Freetown,MA,NSTAR Electric Company,5754.24,2018
2024,0 Tanglewood Circle - Becket,Becket,MA,Western Massachusetts Electric Company,5983.2,2018
2024,SMAES_08241,Natick,MA,Eversource MA East,32.4,2019
2024,SMAES_03659,Westport,MA,Eversource MA East,37.8,2019
2024,SMAES_04307,Milton,MA,Eversource MA East,38,2019
2024,SMANG_08541,Melrose,MA,National Grid (Massachusetts Electric),50,2019
2024,SMAES_03350,Framingham,MA,Eversource MA East,58,2019
2024,SMAES_02744,New Bedford,MA,Eversource MA East,58,2019
2024,SMAES_00289,Chatham,MA,Eversource MA East,76.8,2019
2024,SMAES_00311,Framingham,MA,Eversource MA East,120,2019
2024,SMANG_01121,Everett,MA,National Grid (Massachusetts Electric),133.2,2019
2024,SMANG_00334,Leominster,MA,National Grid (Massachusetts Electric),199.8,2019
2024,SMAES_01081,Springfield,MA,Eversource MA West,240,2019
2024,SMAES_00446,Walpole,MA,Eversource MA East,245.2153846,2019
2024,SMANG_03600,Easton,MA,National Grid (Massachusetts Electric),250,2019
2024,SMANG_00039,Chelmsford,MA,National Grid (Massachusetts Electric),330,2019
2024,SMAES_00436,Walpole,MA,Eversource MA East,333.4692308,2019
2024,SMANG_00048,Chelmsford,MA,National Grid (Massachusetts Electric),396,2019
2024,SMAES_00442,Walpole,MA,Eversource MA East,410.4692308,2019
2024,SMAES_00080,Plymouth,MA,Eversource MA East,518.4,2019
2024,SMANG_00106,Easton,MA,National Grid (Massachusetts Electric),900,2019
2024,Millbury MA #1092 LLC,Millbury,MA,National Grid,1083.82,2019
2024,SMAES_00487,Ashland,MA,Eversource MA East,1209.2,2019
2024,35 Eastman Street - Site 1,Easton,MA,Massachusetts Electric Co,1438.83,2019
2024,SMANG_02414,Winchendon,MA,National Grid (Massachusetts Electric),1934,2019
2024,SMAES_02189,Plainfield,MA,National Grid,2079.21,2019
2024,"Hopkinton MA 1, LLC",Hopkinton,MA,NSTAR Electric Company,2126.77,2019
2024,Carver MA 2 LLC,Carver,MA,NSTAR Electric Company,2186.46,2019
2024,GSPP Raynham TMLP LLC,Raynham,MA,City of Taunton,2261.54,2019
2024,SMAES_00059,Rochester,MA,Eversource MA East,2706,2019
2024,SMAES_00483,Ashland,MA,Eversource MA East,2819.6,2019
2024,SMAES_02170,Amherst,MA,Eversource MA West,3000,2019
2024,MGED Solar Community Project 2,Lakeville,MA,Middleborough Gas and Electric Department,3280,2019
2024,453 Rounseville Road - Rochester,Rochester,MA,NSTAR Electric Company,3324.42,2019
2024,SMAES_00386,Springfield,MA,Eversource MA West,3519.8,2019
2024,GSPP Terawatt Westfield LLC,Westfield,MA,City of Westfield - (MA),3696,2019
2024,GSPP Boxborough Littleton LLC,Boxborough,MA,Town of Littleton - (MA),3861,2019
2024,SMANG_03088,Northampton,MA,National Grid (Massachusetts Electric),4320,2019
2024,328 Partridgeville Road - Athol,Athol,MA,Massachusetts Electric Co,4743.36,2019
2024,SMAES_00942,Blandford,MA,Eversource MA West,4920,2019
2024,SMANG_00098,Winchendon,MA,National Grid (Massachusetts Electric),4950,2019
2024,SMANG_00185,Halifax,MA,National Grid (Massachusetts Electric),4950,2019
2024,SMANG_00127,Plainville,MA,National Grid (Massachusetts Electric),4950,2019
2024,SMAES_01044,Amherst,MA,Eversource MA West,4980,2019
2024,Boxborough Community Solar,Boxborough,MA,Littleton Electric Light & Water Departments,5000,2019
2024,15 Wilmarth Lane - Plainville,Plainville,MA,Massachusetts Electric Co,6372,2019
2024,68 Woodland Avenue- Site A,Seekonk,MA,Massachusetts Electric Co,6885,2019
2024,68 Woodland Avenue - Site B,Seekonk,MA,Massachusetts Electric Co,6885,2019
2024,68 Woodland Avenue - Site C,Seekonk,MA,Massachusetts Electric Co,6885,2019
2024,38 Happy Hollow Road - Winchendon,Winchendon,MA,Massachusetts Electric Co,7128,2019
2024,SMAES_08195,Winchester,MA,Eversource MA East,38,2020
2024,SMAES_27195,Milton,MA,Eversource MA East,44,2020
2024,SMAES_20495,Boston,MA,Eversource MA East,56,2020
2024,SMAES_20496,Boston,MA,Eversource MA East,58,2020
2024,SMANG_09229,Stoughton,MA,National Grid (Massachusetts Electric),73,2020
2024,SMAES_16730,Orleans,MA,Eversource MA East,74.58,2020
2024,SMAES_18781,Dennis,MA,Eversource MA East,100,2020
2024,SMAES_06651,Dennis,MA,Eversource MA East,133.2,2020
2024,SMAES_10219,Orleans,MA,Eversource MA East,133.2,2020
2024,SMANG_06309,Methuen,MA,National Grid (Massachusetts Electric),180,2020
2024,SMAES_20775,Acton,MA,Eversource MA East,180,2020
2024,SMAES_02239,Springfield,MA,Eversource MA West,180.46,2020
2024,SMAES_03143,Brewster,MA,Eversource MA East,199.8,2020
2024,SMANG_01095,East Longmeadow,MA,National Grid (Massachusetts Electric),233,2020
2024,SMANG_00934,Stoughton,MA,National Grid (Massachusetts Electric),233.3,2020
2024,SMAES_21646,Medway,MA,Eversource MA East,234.55,2020
2024,SMAES_00453,Pittsfield,MA,Eversource MA West,240,2020
2024,SMANG_00235,Monson,MA,National Grid (Massachusetts Electric),247,2020
2024,SMANG_04593,East Longmeadow,MA,National Grid (Massachusetts Electric),247.6,2020
2024,SMANG_01418,Lowell,MA,National Grid (Massachusetts Electric),250,2020
2024,SMANG_00500,Lowell,MA,National Grid (Massachusetts Electric),250,2020
2024,SMAES_20555,Lexington,MA,Eversource MA East,250,2020
2024,SMANG_01213,Lowell,MA,National Grid (Massachusetts Electric),250,2020
2024,SMANG_02040,Hanover,MA,National Grid (Massachusetts Electric),250,2020
2024,SMANG_01487,Tyngsborough,MA,National Grid (Massachusetts Electric),325,2020
2024,SMANG_00660,Hanover,MA,National Grid (Massachusetts Electric),399.6,2020
2024,SMANG_01620,Foxborough,MA,National Grid (Massachusetts Electric),433,2020
2024,SMANG_01639,Palmer,MA,National Grid (Massachusetts Electric),445.14,2020
2024,SMANG_00327,Leominster,MA,National Grid (Massachusetts Electric),466.6,2020
2024,SMAES_05791,Canton,MA,Eversource MA East,539,2020
2024,SMANG_00068,Chelmsford,MA,National Grid (Massachusetts Electric),720,2020
2024,SMANG_00143,Ayer,MA,National Grid (Massachusetts Electric),753.2,2020
2024,SMANG_00913,Stoughton,MA,National Grid (Massachusetts Electric),816,2020
2024,SMANG_00135,Bridgewater,MA,National Grid (Massachusetts Electric),823,2020
2024,SMANG_02131,Southbridge,MA,National Grid (Massachusetts Electric),934.8,2020
2024,SMANG_02136,Southbridge,MA,National Grid (Massachusetts Electric),955.18,2020
2024,SMANG_00560,Stoughton,MA,National Grid (Massachusetts Electric),960,2020
2024,SMAES_00033,Erving,MA,Eversource MA West,990,2020
2024,SMANG_01262,Orange,MA,National Grid (Massachusetts Electric),990,2020
2024,SMANG_02156,Southbridge,MA,National Grid (Massachusetts Electric),999,2020
2024,SMANG_02970,Lancaster,MA,National Grid (Massachusetts Electric),1000,2020
2024,SMAES_02176,Deerfield,MA,Eversource MA West,1000,2020
2024,SMANG_08180,Sutton,MA,National Grid (Massachusetts Electric),1000,2020
2024,SMANG_00122,East Brookfield,MA,National Grid (Massachusetts Electric),1000,2020
2024,SMANG_03737,Wilbraham,MA,National Grid (Massachusetts Electric),1000,2020
2024,SMANG_02150,Ware,MA,National Grid (Massachusetts Electric),1000.66,2020
2024,SMANG_02052,Charlton,MA,National Grid (Massachusetts Electric),1393,2020
2024,SMANG_00160,Warren,MA,National Grid (Massachusetts Electric),1500,2020
2024,SMANG_01484,Halifax,MA,National Grid (Massachusetts Electric),1668,2020
2024,SMAES_02251,Hadley,MA,Eversource MA West,2000,2020
2024,SMAES_02258,Hadley,MA,Eversource MA West,2000,2020
2024,SMANG_01312,Uxbridge,MA,National Grid (Massachusetts Electric),2000,2020
2024,SMANG_01456,Spencer,MA,National Grid (Massachusetts Electric),2000,2020
2024,SMANG_01031,Charlton,MA,National Grid (Massachusetts Electric),2000,2020
2024,SMANG_01645,Wales,MA,National Grid (Massachusetts Electric),2000,2020
2024,SMANG_01254,Southbridge,MA,National Grid (Massachusetts Electric),2000,2020
2024,SMAES_03313,Wareham,MA,Eversource MA East,2200,2020
2024,SMANG_00129,Spencer,MA,National Grid (Massachusetts Electric),2353.9,2020
2024,SMAES_00217,Easthampton,MA,Eversource MA West,2461,2020
2024,SMAES_01520,Westport,MA,Eversource MA East,2483,2020
2024,SMANG_02362,Southbridge,MA,National Grid (Massachusetts Electric),2500,2020
2024,SMANG_01288,Southbridge,MA,National Grid (Massachusetts Electric),2800,2020
2024,SMANG_00200,Dighton,MA,National Grid (Massachusetts Electric),2836.1,2020
2024,SMAES_01490,Russell,MA,Eversource MA West,2980,2020
2024,SMANG_01176,Spencer,MA,National Grid (Massachusetts Electric),3000,2020
2024,SMANG_00089,Athol,MA,National Grid (Massachusetts Electric),3276,2020
2024,SMAES_01516,Peru,MA,Eversource MA West,3311,2020
2024,SMANG_00813,Norton,MA,National Grid (Massachusetts Electric),3353.053846,2020
2024,SMANG_00671,Beverly,MA,National Grid (Massachusetts Electric),3500,2020
2024,SMAES_05355,Plympton,MA,Eversource MA East,3503.05,2020
2024,SMANG_00313,Northampton,MA,National Grid (Massachusetts Electric),3630,2020
2024,SMANG_02142,Southbridge,MA,National Grid (Massachusetts Electric),3648,2020
2024,SMAUN_02026,Fitchburg,MA,Unitil,4000,2020
2024,SMANG_00856,Wilbraham,MA,National Grid (Massachusetts Electric),4000,2020
2024,SMANG_04366,Attleboro,MA,National Grid (Massachusetts Electric),4268,2020
2024,SMANG_02087,Palmer,MA,National Grid (Massachusetts Electric),4290,2020
2024,SMANG_01298,Southbridge,MA,National Grid (Massachusetts Electric),4300,2020
2024,SMANG_00533,Shutesbury,MA,National Grid (Massachusetts Electric),4500,2020
2024,SMANG_00070,West Brookfield,MA,National Grid (Massachusetts Electric),4500,2020
2024,SMANG_01335,Charlton,MA,National Grid (Massachusetts Electric),4500,2020
2024,SMANG_05822,Dunstable,MA,National Grid (Massachusetts Electric),4500,2020
2024,SMAES_00057,Agawam,MA,Eversource MA West,4536,2020
2024,SMANG_00140,Palmer,MA,National Grid (Massachusetts Electric),4950,2020
2024,SMAES_01508,Westhampton,MA,Eversource MA West,4965.8,2020
2024,SMAES_01502,Tolland,MA,Eversource MA West,4966,2020
2024,SMANG_00180,Westminster,MA,National Grid (Massachusetts Electric),4990,2020
2024,SMANG_00198,Gardner,MA,National Grid (Massachusetts Electric),4990,2020
2024,SMAES_05288,Freetown,MA,Eversource MA East,4990,2020
2024,SMAUN_02020,Lunenburg,MA,Unitil,5000,2020
2024,SMANG_01915,Spencer,MA,National Grid (Massachusetts Electric),5383.75,2020
2024,SMAES_22256,Boston,MA,Eversource MA East,38.42,2021
2024,SMANG_18468,East Bridgewater,MA,National Grid (Massachusetts Electric),45.97,2021
2024,SMAES_35310,West Tisbury,MA,Eversource MA East,48.1,2021
2024,SMANG_18471,East Bridgewater,MA,National Grid (Massachusetts Electric),50.4,2021
2024,SMANG_18469,East Bridgewater,MA,National Grid (Massachusetts Electric),52.06,2021
2024,SMANG_18467,East Bridgewater,MA,National Grid (Massachusetts Electric),53.17,2021
2024,SMANG_18470,East Bridgewater,MA,National Grid (Massachusetts Electric),53.17,2021
2024,SMANG_18474,East Bridgewater,MA,National Grid (Massachusetts Electric),53.17,2021
2024,SMANG_18475,East Bridgewater,MA,National Grid (Massachusetts Electric),53.17,2021
2024,SMANG_18476,East Bridgewater,MA,National Grid (Massachusetts Electric),53.17,2021
2024,SMANG_18466,East Bridgewater,MA,National Grid (Massachusetts Electric),55.38,2021
2024,SMANG_18472,East Bridgewater,MA,National Grid (Massachusetts Electric),55.38,2021
2024,SMAES_17845,Acushnet,MA,Eversource MA East,60.92,2021
2024,SMAES_36100,Freetown,MA,Eversource MA East,66.46153846,2021
2024,SMAES_22789,Newton,MA,Eversource MA East,120.53,2021
2024,SMANG_01392,Brockton,MA,National Grid (Massachusetts Electric),144.87,2021
2024,SMAES_02924,Canton,MA,Eversource MA East,194.09,2021
2024,SMANG_03284,Worcester,MA,National Grid (Massachusetts Electric),199.8,2021
2024,SMAES_01652,Millis,MA,Eversource MA East,207.14,2021
2024,SMANG_01285,Sheffield,MA,National Grid (Massachusetts Electric),240,2021
2024,SMANG_01274,Clarksburg,MA,National Grid (Massachusetts Electric),240,2021
2024,SMAES_04800,Woburn,MA,Eversource MA East,250,2021
2024,SMAES_03369,Canton,MA,Eversource MA East,259.85,2021
2024,SMANG_06547,Tyngsborough,MA,National Grid (Massachusetts Electric),264.25,2021
2024,SMANG_00146,Marlborough,MA,National Grid (Massachusetts Electric),333.2,2021
2024,SMANG_01135,East Longmeadow,MA,National Grid (Massachusetts Electric),433.04,2021
2024,SMAES_16676,Waltham,MA,Eversource MA East,471.88,2021
2024,SMAES_13404,Woburn,MA,Eversource MA East,483.32,2021
2024,SMANG_01282,East Bridgewater,MA,National Grid (Massachusetts Electric),499.5,2021
2024,SMANG_00479,West Bridgewater,MA,National Grid (Massachusetts Electric),683.3,2021
2024,SMANG_00999,Westborough,MA,National Grid (Massachusetts Electric),766.6,2021
2024,SMANG_00072,Orange,MA,National Grid (Massachusetts Electric),835.06,2021
2024,SMANG_00351,Chelmsford,MA,National Grid (Massachusetts Electric),910,2021
2024,SMANG_01058,Westminster,MA,National Grid (Massachusetts Electric),924.23,2021
2024,SMANG_00965,Norton,MA,National Grid (Massachusetts Electric),966.6,2021
2024,SMANG_02271,Webster,MA,National Grid (Massachusetts Electric),1000,2021
2024,SMANG_02038,Webster,MA,National Grid (Massachusetts Electric),1070.3,2021
2024,SMAES_33280,Rochester,MA,Eversource MA East,1153.45,2021
2024,SMANG_02647,Spencer,MA,National Grid (Massachusetts Electric),1235,2021
2024,SMANG_05753,Mendon,MA,National Grid (Massachusetts Electric),1328.4,2021
2024,SMAES_06926,Falmouth,MA,Eversource MA East,1556.1,2021
2024,SMANG_00181,North Brookfield,MA,National Grid (Massachusetts Electric),1560,2021
2024,SMANG_07791,Methuen,MA,National Grid (Massachusetts Electric),1654.75,2021
2024,SMAUN_07321,Lunenburg,MA,Unitil,1717.1,2021
2024,SMANG_00161,Brimfield,MA,National Grid (Massachusetts Electric),1728,2021
2024,SMANG_03285,Cheshire,MA,National Grid (Massachusetts Electric),1753.34,2021
2024,SMAES_09396,Wareham,MA,Eversource MA East,1829,2021
2024,SMANG_02095,Oakham,MA,National Grid (Massachusetts Electric),2000,2021
2024,SMAES_00043,Fairhaven,MA,Eversource MA East,2027.45,2021
2024,SMAES_05244,Carver,MA,Eversource MA East,2153.484615,2021
2024,SMANG_08030,Great Barrington,MA,National Grid (Massachusetts Electric),2153.98,2021
2024,SMANG_00203,Leicester,MA,National Grid (Massachusetts Electric),2592,2021
2024,SMANG_04388,Charlemont,MA,National Grid (Massachusetts Electric),2665.38,2021
2024,SMAES_10090,Acushnet,MA,Eversource MA East,2677.98,2021
2024,SMAES_09397,Carver,MA,Eversource MA East,2904.9,2021
2024,SMANG_00340,Westminster,MA,National Grid (Massachusetts Electric),3000,2021
2024,SMAES_09391,Wareham,MA,Eversource MA East,3178.3,2021
2024,SMAES_00042,Fairhaven,MA,Eversource MA East,3246.15,2021
2024,SMANG_00214,Ware,MA,National Grid (Massachusetts Electric),3276,2021
2024,SMANG_02043,Granby,MA,National Grid (Massachusetts Electric),3657.88,2021
2024,SMANG_01042,Lancaster,MA,National Grid (Massachusetts Electric),3875,2021
2024,SMANG_00121,Brookfield,MA,National Grid (Massachusetts Electric),3894.23,2021
2024,SMANG_00858,North Brookfield,MA,National Grid (Massachusetts Electric),4200,2021
2024,SMAES_14971,Barnstable,MA,Eversource MA East,4248.09,2021
2024,SMANG_01414,Warren,MA,National Grid (Massachusetts Electric),4307.26,2021
2024,SMAES_17557,Bellingham,MA,Eversource MA East,4341.91,2021
2024,SMAES_24941,Agawam,MA,Eversource MA West,4351.38,2021
2024,SMANG_03009,Lancaster,MA,National Grid (Massachusetts Electric),4600,2021
2024,SMAES_10028,Conway,MA,Eversource MA West,4735.5,2021
2024,SMAES_09398,Carver,MA,Eversource MA East,4849,2021
2024,SMAES_02545,Dalton,MA,Eversource MA West,4904.9,2021
2024,SMANG_01482,New Marlborough,MA,National Grid (Massachusetts Electric),4930.2,2021
2024,SMANG_03712,Lancaster,MA,National Grid (Massachusetts Electric),4950,2021
2024,SMANG_01437,Berlin,MA,National Grid (Massachusetts Electric),4950,2021
2024,SMAES_10447,Falmouth,MA,Eversource MA East,4950,2021
2024,SMANG_00046,Northbridge,MA,National Grid (Massachusetts Electric),4980,2021
2024,SMANG_00066,Northbridge,MA,National Grid (Massachusetts Electric),4980,2021
2024,SMANG_00933,Northbridge,MA,National Grid (Massachusetts Electric),4980,2021
2024,SMANG_00154,East Brookfield,MA,National Grid (Massachusetts Electric),4980,2021
2024,SMAES_03828,Freetown,MA,Eversource MA East,4990,2021
2024,SMAES_09394,Wareham,MA,Eversource MA East,4999,2021
2024,SMAES_09392,Wareham,MA,Eversource MA East,5349,2021
2024,SMANG_00144,Orange,MA,National Grid (Massachusetts Electric),5384.7,2021
2024,SMAES_20460,Westport,MA,Eversource MA East,5553.09,2021
2024,SMANG_00141,Orange,MA,National Grid (Massachusetts Electric),5603.45,2021
2024,SMANG_00155,Hubbardston,MA,National Grid (Massachusetts Electric),5742.69,2021
2024,SMANG_00318,Northbridge,MA,National Grid (Massachusetts Electric),5770.52,2021
2024,SMAES_09393,Carver,MA,Eversource MA East,5851.2,2021
2024,SMANG_00199,North Brookfield,MA,National Grid (Massachusetts Electric),6880.11,2021
2024,SMANG_04315,Tyngsborough,MA,National Grid (Massachusetts Electric),7615.3,2021
2024,SMAES_09395,Carver,MA,Eversource MA East,8960,2021
2024,SMAES_20049,Framingham,MA,Eversource MA East,57,2022
2024,SMAES_38494,Maynard,MA,Eversource MA East,70.15,2022
2024,SMAES_27428,Acushnet,MA,Eversource MA East,102.46,2022
2024,SMAES_27443,New Bedford,MA,Eversource MA East,116,2022
2024,SMAES_35390,Wareham,MA,Eversource MA East,166.15,2022
2024,SMAES_13351,Stoneham,MA,Eversource MA East,166.5,2022
2024,SMANG_01541,Haverhill,MA,National Grid (Massachusetts Electric),171.29,2022
2024,SMAES_24097,Barnstable,MA,Eversource MA East,187.17,2022
2024,SMAES_28967,Acton,MA,Eversource MA East,253.51,2022
2024,SMAES_10022,Woburn,MA,Eversource MA East,278.77,2022
2024,SMAES_02066,Natick,MA,Eversource MA East,366.79,2022
2024,SMAES_02111,Newton,MA,Eversource MA East,455.4,2022
2024,SMAES_32886,Acushnet,MA,Eversource MA East,549.55,2022
2024,SMANG_01973,Ayer,MA,National Grid (Massachusetts Electric),751,2022
2024,SMAES_02375,Plymouth,MA,Eversource MA East,780,2022
2024,SMANG_04345,Chelmsford,MA,National Grid (Massachusetts Electric),832.5,2022
2024,SMAES_18497,Dartmouth,MA,Eversource MA East,999,2022
2024,SMAES_18749,Dartmouth,MA,Eversource MA East,999,2022
2024,SMAES_30978,Falmouth,MA,Eversource MA East,1000,2022
2024,SMAES_10249,Freetown,MA,Eversource MA East,1000,2022
2024,SMANG_02157,Ware,MA,National Grid (Massachusetts Electric),1407.32,2022
2024,SMAES_02053,Bernardston,MA,Eversource MA West,1410,2022
2024,SMAES_07215,Hopkinton,MA,Eversource MA East,1800,2022
2024,SMANG_00414,Grafton,MA,National Grid (Massachusetts Electric),2000,2022
2024,SMAES_01595,Deerfield,MA,Eversource MA West,2000,2022
2024,SMANG_01367,Sheffield,MA,National Grid (Massachusetts Electric),2125,2022
2024,SMAES_24262,Plympton,MA,Eversource MA East,2500,2022
2024,SMANG_00309,Tewksbury,MA,National Grid (Massachusetts Electric),2786.88,2022
2024,SMANG_15242,Pembroke,MA,National Grid (Massachusetts Electric),3196.8,2022
2024,SMANG_00205,Charlton,MA,National Grid (Massachusetts Electric),3500,2022
2024,SMAES_00090,Lanesborough,MA,Eversource MA West,3600,2022
2024,SMANG_10098,Blackstone,MA,National Grid (Massachusetts Electric),3651.96,2022
2024,SMANG_07199,Hampden,MA,National Grid (Massachusetts Electric),3875,2022
2024,SMAES_30974,Falmouth,MA,Eversource MA East,4000,2022
2024,SMANG_01500,Westminster,MA,National Grid (Massachusetts Electric),4006.25,2022
2024,SMANG_01920,Blackstone,MA,National Grid (Massachusetts Electric),4200,2022
2024,SMAES_00111,Lanesborough,MA,Eversource MA West,4536,2022
2024,SMAES_00156,Lanesborough,MA,Eversource MA West,4536,2022
2024,SMAES_00190,Erving,MA,Eversource MA West,4954.2,2022
2024,SMANG_00204,Millbury,MA,National Grid (Massachusetts Electric),4980,2022
2024,SMAES_15132,Easthampton,MA,Eversource MA West,4998,2022
2024,SMAES_12793,Ludlow,MA,Eversource MA West,4998,2022
2024,SMANG_04029,Adams,MA,National Grid (Massachusetts Electric),4998,2022
2024,SMAES_28816,Holliston,MA,Eversource MA East,5000,2022
2024,SMAES_27001,Plympton,MA,Eversource MA East,5000,2022
2024,SMAES_02032,Granville,MA,Eversource MA West,5311.28,2022
2024,SMANG_01303,Auburn,MA,National Grid (Massachusetts Electric),5605.2,2022
2024,SMANG_06530,Douglas,MA,National Grid (Massachusetts Electric),6720,2022
2024,SMAES_60159,New Bedford,MA,Eversource MA East,99.4,2023
2024,SMAES_45385,Waltham,MA,Eversource MA East,166.5,2023
2024,SMANG_55045,Stoughton,MA,National Grid (Massachusetts Electric),250,2023
2024,SMAES_26641,Mashpee,MA,Eversource MA East,491.3,2023
2024,SMANG_38615,Halifax,MA,National Grid (Massachusetts Electric),1500,2023
2024,SMAES_11367,Plymouth,MA,Eversource MA East,1875,2023
2024,SMANG_09073,Stoughton,MA,National Grid (Massachusetts Electric),2000,2023
2024,SMANG_02161,Uxbridge,MA,National Grid (Massachusetts Electric),4000,2023
2024,SMANG_00344,Westminster,MA,National Grid (Massachusetts Electric),4875,2023
2024,SMAES_24583,Rochester,MA,Eversource MA East,4975,2023
2024,SMANG_11267,Douglas,MA,National Grid (Massachusetts Electric),4980,2023
2024,SMANG_11263,Franklin,MA,National Grid (Massachusetts Electric),4990,2023
2024,SMANG_16469,Palmer,MA,National Grid (Massachusetts Electric),4930,2023
2024,SMANG_46695,Franklin,MA,National Grid (Massachusetts Electric),240,2023
2024,University Park Community Solar LLC,University Park,MD,Potomac Electric Power Co,17.52,2010
2024,Greenbelt Community Solar,Greenbelt,MD,Potomac Electric Power Co,16.96,2011
2024,BGE Community Solar Pilot Program (4725902),Baltimore,MD,Baltimore Gas & Electric Co,9.93,2018
2024,PEPCO-0012976,Upper Marlboro,MD,Potomac Electric Power Co,825,2018
2024,PEPCO-0095410,Fort Washington,MD,Potomac Electric Power Co,1000,2018
2024,PEPCO-0095411,Fort Washington,MD,Potomac Electric Power Co,1000,2018
2024,PEPCO-0095409,Fort Washington,MD,Potomac Electric Power Co,1500,2018
2024,PEPCO-0095407,Fort Washington,MD,Potomac Electric Power Co,1500,2018
2024,17A2148980003856,Snow Hill,MD,Delmarva Power,1980,2018
2024,PEPCO-0012823,Upper Marlboro,MD,Potomac Electric Power Co,2000,2018
2024,GEN-CS-5421,Smithsburg,MD,The Potomac Edison Co,66.6,2019
2024,Oxon Hill,Oxon Hill,MD,Potomac Electric Power Co,429.23,2019
2024,4705992,Windsor Mill,MD,Baltimore Gas & Electric Co,900,2019
2024,PEPCO-0006507,Clinton,MD,Potomac Electric Power Co,1320,2019
2024,GEN-CS-5399,Union Bridge,MD,The Potomac Edison Co,1950,2019
2024,GEN-CS-5402,Flintstone,MD,The Potomac Edison Co,1950,2019
2024,4706005,Windsor Mill,MD,Baltimore Gas & Electric Co,1980,2019
2024,Simba (PEPCO-0012971),Cheltenham,MD,Potomac Electric Power Co,2000,2019
2024,17A2150160003870,Chester,MD,Delmarva Power,2000,2019
2024,4705565,Kingsville,MD,Baltimore Gas & Electric Co,2000,2019
2024,GEN-CS-5394,Williamsport,MD,The Potomac Edison Co,2000,2019
2024,PEPCO-0006303,Upper Marlboro,MD,Potomac Electric Power Co,2000,2019
2024,PEPCO-0095708,Hillcrest Heights,MD,Potomac Electric Power Co,67,2020
2024,PEPCO-0002702,Silver Spring,MD,Potomac Electric Power Co,240,2020
2024,4904337,Windsor Mill,MD,Baltimore Gas & Electric Co,300,2020
2024,4904332,Elkridge,MD,Baltimore Gas & Electric Co,540,2020
2024,4934824,White Marsh,MD,Baltimore Gas & Electric Co,540,2020
2024,4912445,Elkridge,MD,Baltimore Gas & Electric Co,780,2020
2024,17A2150570003894,Elkton,MD,Delmarva Power,1000,2020
2024,Gateway - MD - 6500 Sheriff Rd - DC feeder,Prince Georges,MD,Potomac Electric Power Co,1120.71,2020
2024,4831613,Hanover,MD,Baltimore Gas & Electric Co,1510,2020
2024,4809085,Reisterstown,MD,Baltimore Gas & Electric Co,1980,2020
2024,4831498,Windsor Mill,MD,Baltimore Gas & Electric Co,1980,2020
2024,Glassywing (18A2213730004105),East New Market,MD,Delmarva Power,2000,2020
2024,4706027,White Marsh,MD,Baltimore Gas & Electric Co,2000,2020
2024,4705590,Bowie,MD,Baltimore Gas & Electric Co,2000,2020
2024,GEN-CS-6087,Accident,MD,The Potomac Edison Co,2000,2020
2024,GEN-CS-6090,Hancock,MD,The Potomac Edison Co,2000,2020
2024,GEN-CS-6092,Hagerstown,MD,The Potomac Edison Co,2000,2020
2024,18A2216230004116,Friendsville,MD,The Potomac Edison Co,2000,2020
2024,4948903,Lothian,MD,Baltimore Gas & Electric Co,266.6,2021
2024,2501,Jessup,MD,Baltimore Gas & Electric Co,400,2021
2024,2502,Jessup,MD,Baltimore Gas & Electric Co,450,2021
2024,2503,Elkridge,MD,Baltimore Gas & Electric Co,850,2021
2024,4934831,Elkridge,MD,Baltimore Gas & Electric Co,1080,2021
2024,4958175,Tracys Landing,MD,Baltimore Gas & Electric Co,1487,2021
2024,4910038,Halethorpe,MD,Baltimore Gas & Electric Co,1500,2021
2024,4705997,Marriottsville,MD,Baltimore Gas & Electric Co,1900,2021
2024,548,Columbia,MD,Baltimore Gas & Electric Co,1980,2021
2024,368,Hampstead,MD,Baltimore Gas & Electric Co,2000,2021
2024,382,Hampstead,MD,Baltimore Gas & Electric Co,2000,2021
2024,386,Hampstead,MD,Baltimore Gas & Electric Co,2000,2021
2024,PEPCO-0020918,Gaithersburg,MD,Potomac Electric Power Co,2000,2021
2024,GEN-CS-6088,Friendsville,MD,The Potomac Edison Co,2000,2021
2024,4932165,Baltimore,MD,Baltimore Gas & Electric Co,432.9,2022
